date,site,keyword,count,average_price,min_price,max_price
2025-06-05,rakuma,BEAMS,25,3372.6,699,12000
2025-06-06,rakuma,BEAMS,25,4183.52,750,24900
2025-06-07,rakuma,BEAMS,25,7452.4,1650,59800
2025-06-08,rakuma,BEAMS,25,5014.72,500,17000
2025-06-09,rakuma,BEAMS,25,4081.92,300,7700
2025-06-10,rakuma,BEAMS,25,8687.4,2080,32000
2025-06-11,rakuma,BEAMS,25,6774.36,1280,31900
2025-06-12,rakuma,BEAMS,25,3010.52,300,6399
2025-06-13,rakuma,BEAMS,25,6939.2,1780,12900
2025-06-14,rakuma,BEAMS,25,3305.04,1000,10000
2025-06-15,rakuma,BEAMS,25,5071.16,300,23000
2025-06-17,rakuma,BEAMS,25,7320.88,800,45999
2025-06-18,rakuma,BEAMS,25,2594.72,1080,7900
2025-06-19,rakuma,BEAMS,25,4564.76,1380,19999
2025-06-20,rakuma,BEAMS,25,3121.08,380,15500
2025-06-21,rakuma,BEAMS,25,4647.36,300,13800
2025-06-22,rakuma,BEAMS,25,5363.28,799,18000
2025-06-23,rakuma,BEAMS,25,3644.8,500,10000
2025-06-24,rakuma,BEAMS,25,3550.36,1300,15200
2025-06-25,rakuma,BEAMS,25,5384.8,1900,25900
2025-06-26,rakuma,BEAMS,25,5907.64,580,29999
2025-06-28,rakuma,BEAMS,25,7984.84,600,52000
2025-06-29,rakuma,BEAMS,25,4632.8,1380,28800
2025-06-30,rakuma,BEAMS,25,3719.84,1280,25000
2025-07-02,rakuma,BEAMS,25,7476.0,300,105000
2025-07-03,rakuma,BEAMS,25,5097.8,1200,35999
2025-07-04,rakuma,BEAMS,25,4232.48,1399,22000
2025-07-05,rakuma,BEAMS,25,4572.76,1099,20000
2025-07-06,rakuma,BEAMS,25,7747.68,300,40200
2025-07-07,rakuma,BEAMS,25,4490.36,1480,15999
2025-07-08,rakuma,BEAMS,25,4842.64,350,32400
2025-07-09,rakuma,BEAMS,25,5176.8,1480,10900
2025-07-11,rakuma,BEAMS,25,4477.36,750,18900
2025-07-12,rakuma,BEAMS,25,4962.52,980,15999
2025-07-13,rakuma,BEAMS,25,5614.36,1380,12800
2025-07-14,rakuma,BEAMS,25,3788.6,1480,15999
2025-07-16,rakuma,BEAMS,25,7990.36,1580,38500
2025-07-20,rakuma,BEAMS,25,45884.04,300,399999
2025-07-23,rakuma,BEAMS,25,4265.68,1400,21000
2025-07-26,rakuma,BEAMS,25,3018.32,1250,7800
2025-07-30,rakuma,BEAMS,25,7390.8,1380,19500
2025-07-31,rakuma,BEAMS,25,5783.48,1580,37800
2025-08-01,rakuma,BEAMS,25,6130.4,1380,32000
2025-08-02,rakuma,BEAMS,25,2453.6,300,6800
2025-08-04,rakuma,BEAMS,25,3879.2,820,6700
2025-08-05,rakuma,BEAMS,25,5862.32,300,26000
2025-08-06,rakuma,BEAMS,25,4684.0,300,12000
2025-08-07,rakuma,BEAMS,25,5535.12,300,45499
2025-08-10,rakuma,BEAMS,25,5902.36,1200,22800
2025-08-11,rakuma,BEAMS,25,5095.56,300,51000
2025-08-12,rakuma,BEAMS,25,4571.96,300,26500
