date,site,keyword,count,average_price,min_price,max_price
2025-06-05,rakuma,UNITED ARROWS,25,3607.2,600,9000
2025-06-06,rakuma,UNITED ARROWS,25,4709.92,799,24900
2025-06-07,rakuma,UNITED ARROWS,25,7372.0,1100,59800
2025-06-08,rakuma,UNITED ARROWS,25,6414.8,3580,26230
2025-06-09,rakuma,UNITED ARROWS,25,3467.96,1500,6800
2025-06-10,rakuma,UNITED ARROWS,25,6428.0,2080,16900
2025-06-11,rakuma,UNITED ARROWS,25,4288.0,1600,6500
2025-06-12,rakuma,UNITED ARROWS,25,3933.36,300,22000
2025-06-13,rakuma,UNITED ARROWS,25,7566.4,1400,29900
2025-06-14,rakuma,UNITED ARROWS,25,3764.84,1000,16800
2025-06-15,rakuma,UNITED ARROWS,25,4780.0,1300,9600
2025-06-19,rakuma,UNITED ARROWS,25,4468.0,1100,6800
2025-06-20,rakuma,UNITED ARROWS,25,5355.16,380,15500
2025-06-21,rakuma,UNITED ARROWS,25,4019.2,1000,6800
2025-06-23,rakuma,UNITED ARROWS,25,4336.0,2100,7700
2025-06-24,rakuma,UNITED ARROWS,25,4650.4,300,32000
2025-06-26,rakuma,UNITED ARROWS,25,6562.36,2200,17500
2025-06-27,rakuma,UNITED ARROWS,25,4207.96,1100,6800
2025-06-28,rakuma,UNITED ARROWS,25,13902.4,2900,129000
2025-06-29,rakuma,UNITED ARROWS,25,3963.2,1500,7200
2025-07-04,rakuma,UNITED ARROWS,25,4066.68,450,22000
2025-07-05,rakuma,UNITED ARROWS,25,3294.4,1300,6100
2025-07-06,rakuma,UNITED ARROWS,25,6522.4,2200,20000
2025-07-07,rakuma,UNITED ARROWS,25,4064.0,1100,5800
2025-07-08,rakuma,UNITED ARROWS,25,4824.04,1499,13500
2025-07-09,rakuma,UNITED ARROWS,25,5887.2,1200,57900
2025-07-10,rakuma,UNITED ARROWS,25,7300.4,930,80000
2025-07-11,rakuma,UNITED ARROWS,25,3354.4,1170,6200
2025-07-12,rakuma,UNITED ARROWS,25,5272.8,1300,11500
2025-07-13,rakuma,UNITED ARROWS,25,4684.0,1900,10600
2025-07-14,rakuma,UNITED ARROWS,25,3963.12,1799,15999
2025-07-20,rakuma,UNITED ARROWS,25,34655.12,300,399999
2025-07-23,rakuma,UNITED ARROWS,25,3731.2,1600,6000
2025-07-26,rakuma,UNITED ARROWS,25,1449.2,1250,2080
2025-07-28,rakuma,UNITED ARROWS,25,4050.36,300,13800
2025-07-31,rakuma,UNITED ARROWS,25,3783.96,1300,7300
2025-08-01,rakuma,UNITED ARROWS,25,6103.12,1999,30000
2025-08-05,rakuma,UNITED ARROWS,25,5307.16,300,26000
2025-08-07,rakuma,UNITED ARROWS,25,4372.76,1199,8300
2025-08-08,rakuma,UNITED ARROWS,25,5554.28,1500,23000
2025-08-09,rakuma,UNITED ARROWS,25,6472.0,3200,32000
2025-08-10,rakuma,UNITED ARROWS,25,3515.2,1600,7800
2025-08-11,rakuma,UNITED ARROWS,25,2723.96,1080,7400
2025-08-12,rakuma,UNITED ARROWS,25,3480.0,500,5500
2025-08-14,rakuma,UNITED ARROWS,25,4141.2,300,36000
2025-08-16,rakuma,UNITED ARROWS,25,3400.8,1900,6400
2025-08-18,rakuma,UNITED ARROWS,25,3127.92,1000,5600
2025-08-20,rakuma,UNITED ARROWS,25,3508.0,1800,5700
2025-08-23,rakuma,UNITED ARROWS,25,4586.32,599,13500
2025-08-24,rakuma,UNITED ARROWS,25,3847.2,2200,7800
2025-08-25,rakuma,UNITED ARROWS,25,6199.16,300,29000
2025-08-26,rakuma,UNITED ARROWS,25,4351.2,2300,13980
2025-08-28,rakuma,UNITED ARROWS,25,4687.2,1100,25600
2025-08-31,rakuma,UNITED ARROWS,25,5423.16,2500,27999
2025-09-01,rakuma,UNITED ARROWS,25,3402.36,2080,6600
2025-09-04,rakuma,UNITED ARROWS,25,4411.2,700,10000
2025-09-06,rakuma,UNITED ARROWS,25,4028.0,2000,8300
2025-09-08,rakuma,UNITED ARROWS,25,19771.92,1980,400000
2025-09-10,rakuma,UNITED ARROWS,25,4573.6,2200,20000
2025-09-13,rakuma,UNITED ARROWS,25,3820.84,2200,10222
2025-09-15,rakuma,UNITED ARROWS,25,3955.96,1099,6100
2025-09-16,rakuma,UNITED ARROWS,25,2859.04,900,8199
2025-09-17,rakuma,UNITED ARROWS,25,3599.2,590,6400
2025-09-18,rakuma,UNITED ARROWS,25,4436.0,1180,49800
2025-09-19,rakuma,UNITED ARROWS,25,3608.0,300,7000
2025-09-21,rakuma,UNITED ARROWS,25,3942.12,1580,11000
2025-09-22,rakuma,UNITED ARROWS,25,4127.12,2200,6599
2025-09-23,rakuma,UNITED ARROWS,25,4660.0,2300,12000
2025-09-26,rakuma,UNITED ARROWS,25,2814.8,1200,8400
2025-09-30,rakuma,UNITED ARROWS,25,3851.6,1290,8100
2025-10-01,rakuma,UNITED ARROWS,25,6240.0,2400,9300
2025-10-03,rakuma,UNITED ARROWS,25,4777.6,1940,12000
2025-10-04,rakuma,UNITED ARROWS,25,5136.0,2200,9000
2025-10-06,rakuma,UNITED ARROWS,25,4764.0,2300,6700
2025-10-07,rakuma,UNITED ARROWS,25,7172.0,2700,46200
2025-10-08,rakuma,UNITED ARROWS,25,4902.8,580,9100
2025-10-09,rakuma,UNITED ARROWS,25,5402.4,1080,24800
2025-10-10,rakuma,UNITED ARROWS,25,6048.0,500,24500
2025-10-11,rakuma,UNITED ARROWS,25,4764.0,1800,7000
2025-10-12,rakuma,UNITED ARROWS,25,4803.2,2300,8200
2025-10-13,rakuma,UNITED ARROWS,25,5155.96,2600,6500
2025-10-16,rakuma,UNITED ARROWS,25,7151.16,3000,45500
2025-10-17,rakuma,UNITED ARROWS,25,5491.6,2200,15790
2025-10-19,rakuma,UNITED ARROWS,25,4160.0,1380,9400
