date,site,keyword,count,average_price,min_price,max_price
2025-05-22,mercari,Stussy,30,10049.27,850,42600
2025-05-23,mercari,Stussy,30,10089.67,2200,36333
2025-05-24,mercari,Stussy,30,19615.6,2080,196399
2025-05-26,mercari,Stussy,30,14446.77,1820,69000
2025-06-06,mercari,Stussy,30,16196.3,300,61200
2025-10-20,mercari,Stussy,2,30.0,30,30
2025-10-26,mercari,Stussy,2,30.0,30,30
2025-12-14,mercari,Stussy,3,1000.0,1000,1000
2025-12-19,mercari,Stussy,2,10780.0,10780,10780
2025-12-27,mercari,Stussy,3,49.0,49,49
