date,site,keyword,count,average_price,min_price,max_price
2025-05-26,mercari,COMME des GARCONS,30,18661.23,2000,63000
2025-06-06,mercari,COMME des GARCONS,30,31597.7,2700,107000
2025-06-15,mercari,COMME des GARCONS,3,53900.0,53900,53900
2025-07-05,mercari,COMME des GARCONS,2,13200.0,7700,18700
2025-07-23,mercari,COMME des GARCONS,2,9800.0,9800,9800
2025-08-09,mercari,COMME des GARCONS,2,30800.0,30800,30800
2025-08-23,mercari,COMME des GARCONS,2,36300.0,36300,36300
2025-08-25,mercari,COMME des GARCONS,15,73460.0,9800,104500
2025-09-02,mercari,COMME des GARCONS,2,88780.0,88780,88780
2025-09-10,mercari,COMME des GARCONS,1,29800.0,29800,29800
2025-10-14,mercari,COMME des GARCONS,3,91800.0,91800,91800
2025-10-15,mercari,COMME des GARCONS,2,91800.0,91800,91800
2025-10-22,mercari,COMME des GARCONS,2,9800.0,9800,9800
2025-10-24,mercari,COMME des GARCONS,1,91800.0,91800,91800
2025-10-27,mercari,COMME des GARCONS,3,9800.0,9800,9800
2025-11-08,mercari,COMME des GARCONS,1,9800.0,9800,9800
