date,site,keyword,count,average_price,min_price,max_price
2025-06-06,mercari,NIKE Dunk,30,39506.67,820,310200
2025-08-25,mercari,NIKE Dunk,1,15400.0,15400,15400
2025-09-01,mercari,NIKE Dunk,2,4400.0,4400,4400
2025-09-14,mercari,NIKE Dunk,2,14300.0,14300,14300
2025-10-25,mercari,NIKE Dunk,3,4500.0,4500,4500
2025-11-01,mercari,NIKE Dunk,3,18700.0,18700,18700
2025-11-29,mercari,NIKE Dunk,6,17050.0,17050,17050
2026-01-03,mercari,NIKE Dunk,1,15400.0,15400,15400
2026-02-03,mercari,NIKE Dunk,2,16500.0,16500,16500
2026-02-08,mercari,NIKE Dunk,2,15950.0,15950,15950
2026-02-23,mercari,NIKE Dunk,1,15950.0,15950,15950
2026-02-25,mercari,NIKE Dunk,30,8427.97,1689,30000
2026-02-26,mercari,NIKE Dunk,30,17892.0,600,38000
2026-02-27,mercari,NIKE Dunk,30,15009.83,4000,53000
2026-02-28,mercari,NIKE Dunk,30,16400.27,3500,57000
2026-03-01,mercari,NIKE Dunk,30,13866.07,3900,33000
2026-03-02,mercari,NIKE Dunk,30,17942.9,3600,85000
2026-03-03,mercari,NIKE Dunk,30,12167.73,2500,54900
